theme,movie
space-technology-vision,frank-herberts-children-of-dune
space-technology-vision,dune
space-technology-vision,frank-herberts-dune
space-technology-vision,jupiter-ascending
space-technology-vision,the-chronicles-of-riddick
space-technology-vision,star-wars-episode-iii-revenge-of-the-sith
space-technology-vision,john-carter
space-technology-vision,star-wars-episode-i-the-phantom-menace
space-technology-vision,star-wars-the-rise-of-skywalker
space-technology-vision,star-wars-episode-ii-attack-of-the-clones
space-technology-vision,serenity
space-technology-vision,star-wars
space-technology-vision,blade-runner-2049
space-technology-vision,rogue-one-a-star-wars-story
space-technology-vision,valerian-and-the-city-of-a-thousand-planets
space-technology-vision,star-wars-the-force-awakens
action-epic-emotion,the-lord-of-the-rings-the-two-towers
action-epic-emotion,the-lord-of-the-rings-the-fellowship-of-the-ring
action-epic-emotion,the-lord-of-the-rings-the-return-of-the-king
action-epic-emotion,harry-potter-and-the-deathly-hallows-part-2
action-epic-emotion,the-hobbit-an-unexpected-journey
action-epic-emotion,warcraft
action-epic-emotion,the-hobbit-the-battle-of-the-five-armies
action-epic-emotion,the-hobbit-the-desolation-of-smaug
action-epic-emotion,star-wars-episode-iii-revenge-of-the-sith
action-epic-emotion,the-chronicles-of-narnia-the-lion-the-witch-and-the-wardrobe
action-epic-emotion,harry-potter-and-the-deathly-hallows-part-1
action-epic-emotion,star-wars-episode-ii-attack-of-the-clones
action-epic-emotion,star-wars-episode-i-the-phantom-menace
action-epic-emotion,the-empire-strikes-back
action-epic-emotion,eragon
action-epic-emotion,the-chronicles-of-narnia-prince-caspian
spaceship-explosives-destruction,stargate-the-ark-of-truth
spaceship-explosives-destruction,star-trek
spaceship-explosives-destruction,star-trek-into-darkness
spaceship-explosives-destruction,star-trek-beyond
spaceship-explosives-destruction,rogue-one-a-star-wars-story
spaceship-explosives-destruction,prometheus
spaceship-explosives-destruction,star-wars-the-last-jedi
spaceship-explosives-destruction,oblivion-2013
spaceship-explosives-destruction,star-wars-the-force-awakens
spaceship-explosives-destruction,serenity
spaceship-explosives-destruction,star-wars-the-rise-of-skywalker
spaceship-explosives-destruction,star-trek-the-motion-picture
spaceship-explosives-destruction,transformers-dark-of-the-moon
spaceship-explosives-destruction,alien-covenant
spaceship-explosives-destruction,the-chronicles-of-riddick
spaceship-explosives-destruction,transformers-the-last-knight
scary-vision-creativity,eden-log
scary-vision-creativity,pandorum
scary-vision-creativity,dark-city-1998
scary-vision-creativity,underwater-2020
scary-vision-creativity,alien-covenant
scary-vision-creativity,12-kilometers
scary-vision-creativity,alien-3
scary-vision-creativity,vanishing-on-7th-street
scary-vision-creativity,existenz
scary-vision-creativity,love-death-robots-when-the-yogurt-took-over
scary-vision-creativity,europa-report
scary-vision-creativity,mimic
scary-vision-creativity,planet-of-the-apes-2001
scary-vision-creativity,captive-state
scary-vision-creativity,vivarium
scary-vision-creativity,9
fighting-killing-evil,riverworld
fighting-killing-evil,john-carter
fighting-killing-evil,avatar
fighting-killing-evil,star-wars
fighting-killing-evil,jupiter-ascending
fighting-killing-evil,valerian-and-the-city-of-a-thousand-planets
fighting-killing-evil,oblivion-2013
fighting-killing-evil,riverworld-2010
fighting-killing-evil,the-chronicles-of-riddick
fighting-killing-evil,mission-to-mars
fighting-killing-evil,final-fantasy-the-spirits-within
fighting-killing-evil,titan-ae
fighting-killing-evil,outlander
fighting-killing-evil,planet-of-the-apes-2001
fighting-killing-evil,serenity
fighting-killing-evil,10000-bc
predictable-wins-gorgeous,the-wrestler
predictable-wins-gorgeous,gladiator-2000
predictable-wins-gorgeous,the-revenant-2015
predictable-wins-gorgeous,a-knights-tale
predictable-wins-gorgeous,the-lord-of-the-rings-the-return-of-the-king
predictable-wins-gorgeous,the-queens-gambit
predictable-wins-gorgeous,seabiscuit
predictable-wins-gorgeous,the-karate-kid-2010
predictable-wins-gorgeous,the-incredible-hulk
predictable-wins-gorgeous,titanic-1997
predictable-wins-gorgeous,road-house
predictable-wins-gorgeous,never-back-down
predictable-wins-gorgeous,whale-rider
predictable-wins-gorgeous,slumdog-millionaire
predictable-wins-gorgeous,the-karate-kid-part-ii
predictable-wins-gorgeous,hugo
battle-destruction-weapons,babylon-5-the-legend-of-the-rangers-to-live-and-die-in-starlight
battle-destruction-weapons,the-chronicles-of-riddick
battle-destruction-weapons,wing-commander
battle-destruction-weapons,star-trek-beyond
battle-destruction-weapons,star-trek
battle-destruction-weapons,battleship
battle-destruction-weapons,independence-day-resurgence
battle-destruction-weapons,star-wars-the-last-jedi
battle-destruction-weapons,rogue-one-a-star-wars-story
battle-destruction-weapons,star-wars-the-force-awakens
battle-destruction-weapons,titan-ae
battle-destruction-weapons,dune-drifter
battle-destruction-weapons,space-battleship-yamato-2010
battle-destruction-weapons,enders-game
battle-destruction-weapons,the-matrix-revolutions
battle-destruction-weapons,star-trek-nemesis
explosives-cool-exciting,master-of-the-world
explosives-cool-exciting,20000-leagues-under-the-sea-1954
explosives-cool-exciting,star-trek-into-darkness
explosives-cool-exciting,mortal-engines
explosives-cool-exciting,star-trek
explosives-cool-exciting,star-trek-beyond
explosives-cool-exciting,master-and-commander-the-far-side-of-the-world
explosives-cool-exciting,the-league-of-extraordinary-gentlemen
explosives-cool-exciting,sky-captain-and-the-world-of-tomorrow
explosives-cool-exciting,serenity
explosives-cool-exciting,sahara-2005
explosives-cool-exciting,star-wars
explosives-cool-exciting,first-men-in-the-moon
explosives-cool-exciting,star-trek-the-motion-picture
explosives-cool-exciting,pirates-of-the-caribbean-at-worlds-end
explosives-cool-exciting,planet-of-the-apes-2001
cool-monster-darkness,grendel
cool-monster-darkness,the-13th-warrior
cool-monster-darkness,beowulf
cool-monster-darkness,beowulf-grendel
cool-monster-darkness,outlander
cool-monster-darkness,attack-of-the-gryphon
cool-monster-darkness,king-arthur-legend-of-the-sword
cool-monster-darkness,excalibur
cool-monster-darkness,the-lord-of-the-rings-the-fellowship-of-the-ring
cool-monster-darkness,godzilla-king-of-the-monsters-2019
cool-monster-darkness,krull
cool-monster-darkness,gods-of-egypt
cool-monster-darkness,wrath-of-the-titans
cool-monster-darkness,conan-the-barbarian
cool-monster-darkness,the-chronicles-of-riddick
cool-monster-darkness,dracula-untold
graphics-anticipation-creativity,tron
graphics-anticipation-creativity,tron-legacy
graphics-anticipation-creativity,star-wars-episode-i-the-phantom-menace
graphics-anticipation-creativity,the-matrix-revolutions
graphics-anticipation-creativity,star-wars-the-force-awakens
graphics-anticipation-creativity,obi-wan-kenobi
graphics-anticipation-creativity,loki-2021
graphics-anticipation-creativity,black-mirror-bandersnatch
graphics-anticipation-creativity,harry-potter-and-the-deathly-hallows-part-2
graphics-anticipation-creativity,the-hunger-games-catching-fire
graphics-anticipation-creativity,fantastic-beasts-the-secrets-of-dumbledore
graphics-anticipation-creativity,alien-covenant
graphics-anticipation-creativity,artemis-fowl
graphics-anticipation-creativity,jobs
graphics-anticipation-creativity,the-congress-2013
graphics-anticipation-creativity,dragonlance-dragons-of-autumn-twilight
jokes-quirky-obsession,exit-through-the-gift-shop
jokes-quirky-obsession,midnight-in-paris
jokes-quirky-obsession,the-walk-2015
jokes-quirky-obsession,final-portrait
jokes-quirky-obsession,art-school-confidential
jokes-quirky-obsession,american-movie
jokes-quirky-obsession,the-disaster-artist
jokes-quirky-obsession,the-square-2017
jokes-quirky-obsession,man-on-the-moon
jokes-quirky-obsession,feels-good-man
jokes-quirky-obsession,the-room
jokes-quirky-obsession,birdman-or-the-unexpected-virtue-of-ignorance
jokes-quirky-obsession,val
jokes-quirky-obsession,to-rome-with-love
jokes-quirky-obsession,adaptation
jokes-quirky-obsession,after-hours
friendship-captivating-soul,the-five-obstructions
friendship-captivating-soul,wings-of-desire
friendship-captivating-soul,the-velvet-underground-2021
friendship-captivating-soul,cameraperson
friendship-captivating-soul,the-social-network
friendship-captivating-soul,man-on-wire
friendship-captivating-soul,right-now-wrong-then
friendship-captivating-soul,the-woman-who-ran
friendship-captivating-soul,feels-good-man
friendship-captivating-soul,disclosure-2020-1
friendship-captivating-soul,the-walk-2015
friendship-captivating-soul,the-american-meme
friendship-captivating-soul,pretend-its-a-city
friendship-captivating-soul,whiplash-2014
friendship-captivating-soul,the-man-from-earth
friendship-captivating-soul,buena-vista-social-club
humorous-creativity-spirit,the-five-obstructions
humorous-creativity-spirit,yellow-submarine
humorous-creativity-spirit,the-beatles-get-back
humorous-creativity-spirit,doctor-strange-2016
humorous-creativity-spirit,f-for-fake
humorous-creativity-spirit,amadeus
humorous-creativity-spirit,at-eternitys-gate
humorous-creativity-spirit,pretend-its-a-city
humorous-creativity-spirit,de-lovely
humorous-creativity-spirit,mank
humorous-creativity-spirit,me-and-orson-welles
humorous-creativity-spirit,the-hoax
humorous-creativity-spirit,chaplin
humorous-creativity-spirit,copying-beethoven
humorous-creativity-spirit,sweet-and-lowdown
humorous-creativity-spirit,the-illusionist-2010
wit-charming-joy,a-prairie-home-companion
wit-charming-joy,hitchcock
wit-charming-joy,rhapsody-in-blue
wit-charming-joy,children-of-paradise
wit-charming-joy,happenstance
wit-charming-joy,eternal-sunshine-of-the-spotless-mind
wit-charming-joy,le-divorce
wit-charming-joy,jet-lag
wit-charming-joy,i-huckabees
wit-charming-joy,playtime
wit-charming-joy,delicatessen
wit-charming-joy,le-week-end
wit-charming-joy,the-adam-project
wit-charming-joy,you-will-meet-a-tall-dark-stranger
wit-charming-joy,a-cock-and-bull-story
wit-charming-joy,heartbreaker
witty-quirky-ensemble,whatever-works
witty-quirky-ensemble,how-do-you-know
witty-quirky-ensemble,next-stop-wonderland
witty-quirky-ensemble,the-accidental-tourist
witty-quirky-ensemble,tout-va-bien
witty-quirky-ensemble,persepolis
witty-quirky-ensemble,weekend-1967
witty-quirky-ensemble,pierrot-le-fou
witty-quirky-ensemble,together-2000
witty-quirky-ensemble,a-king-in-new-york
witty-quirky-ensemble,vice-2018
witty-quirky-ensemble,modern-times
witty-quirky-ensemble,the-women-on-the-6th-floor
witty-quirky-ensemble,network
witty-quirky-ensemble,contempt
witty-quirky-ensemble,good-morning-vietnam
amusing-culture-mocking,welcome-to-the-sticks
amusing-culture-mocking,being-there
amusing-culture-mocking,the-spanish-apartment
amusing-culture-mocking,timecode
amusing-culture-mocking,eternal-sunshine-of-the-spotless-mind
amusing-culture-mocking,tape
amusing-culture-mocking,hurlyburly
amusing-culture-mocking,a-scanner-darkly
amusing-culture-mocking,doctor-strange-2016
amusing-culture-mocking,project-almanac
amusing-culture-mocking,ant-man-and-the-wasp
amusing-culture-mocking,once-upon-a-time-in-mexico
amusing-culture-mocking,hamlet-2000
amusing-culture-mocking,fast-furious-presents-hobbs-shaw
amusing-culture-mocking,el-mariachi
amusing-culture-mocking,kiss-kiss-bang-bang-2005
cool-comical-inventive,into-the-storm-2014
cool-comical-inventive,happy-death-day-2u
cool-comical-inventive,blood-simple
cool-comical-inventive,the-horses-mouth
cool-comical-inventive,ed-wood
cool-comical-inventive,withnail-i
cool-comical-inventive,the-trouble-with-harry
cool-comical-inventive,the-personal-history-of-david-copperfield
cool-comical-inventive,mortdecai
cool-comical-inventive,the-life-and-death-of-peter-sellers
cool-comical-inventive,man-on-the-moon
cool-comical-inventive,bullets-over-broadway
cool-comical-inventive,small-time-crooks
cool-comical-inventive,in-a-world
cool-comical-inventive,saving-grace
cool-comical-inventive,a-fish-called-wanda
funny-charm-quirky,the-hustle-2019
funny-charm-quirky,be-kind-rewind
funny-charm-quirky,the-lady-in-the-van
funny-charm-quirky,f-for-fake
funny-charm-quirky,de-lovely
funny-charm-quirky,me-and-orson-welles
funny-charm-quirky,stardust-memories
funny-charm-quirky,sweet-and-lowdown
funny-charm-quirky,a-prairie-home-companion
funny-charm-quirky,hitchcock
funny-charm-quirky,the-illusionist-2010
